uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A1J0VT15	0.27450980392156865	7;11;12;14;17;20;26;30;33;35;39;40;42;43	51	2.4834150177240373	1.2367157251732526	0.8	1;2;3;4;7;8;10;11;12;14;15;16;17;18;19;20;21;22;23;24;25;26;27;29;32;33;35;36;37;38;39;41;42;44;45;46;48;49;50;51;52;53;54;55;56;58;59;60;61;62;64;65;66;67;68;69;71;72;74;75;76;77;78;79;81;82;83;84;86;87;88;90;91;92;93;94;95;97;98;99
A0A1R3Y1N0	0.3148148148148148	1;3;5;11;14;21;27;28;29;31;38;39;46;47;49;52;54	54	2.4106007194519044	1.5088226443412884	0.87	1;2;3;4;5;6;7;8;9;10;12;13;14;16;17;18;19;20;21;22;24;25;26;27;28;29;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;48;49;50;53;54;55;56;57;59;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;78;79;80;81;82;83;84;85;86;87;88;89;91;94;95;96;97;98;99;100
A0A1S1KKY6	0.2830188679245283	7;8;13;14;16;17;21;24;25;26;31;35;37;40;49	53	2.5093623387813566	1.5644579308449686	0.57	1;2;3;4;8;10;11;12;13;17;19;20;21;22;24;25;26;27;28;31;32;38;40;41;42;45;49;51;52;56;58;59;60;63;67;68;70;71;72;73;74;75;77;78;80;82;83;84;85;86;89;90;91;92;94;98;100
A0A1S1L7L3	0.4375	6;15;16;17;18;20;25;26;27;29;31;33;34;35;39;41;43;44;45;46;47	48	2.449155714511871	1.022364472531401	0.84	1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;19;20;22;23;24;26;27;28;29;30;31;32;34;35;36;37;38;40;42;43;47;48;49;50;51;52;54;55;57;58;59;61;62;63;64;65;66;67;68;69;70;71;72;73;75;76;77;78;79;80;81;82;83;85;86;87;88;89;90;91;93;94;95;96;97;98;99;100
A0A1S1LFP5	0.3170731707317073	4;9;11;12;15;16;20;21;29;31;35;39;40	41	2.6682743859291076	1.1203627479077618	0.84	1;2;3;4;5;6;7;8;9;11;12;13;14;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;44;45;46;47;49;50;51;52;53;54;55;56;57;58;59;60;62;63;64;65;66;69;71;72;73;74;75;76;77;78;79;81;82;84;85;86;87;88;89;90;92;95;97;98;99;100
A0A1S1LZ61	0.3404255319148936	8;10;11;12;13;18;20;23;24;26;28;31;35;38;40;42	47	2.5217124366760255	1.1177311127589116	0.85	1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;21;22;23;24;25;26;28;29;30;31;32;33;34;36;38;39;42;43;44;45;46;47;48;49;50;51;53;54;55;56;59;60;61;62;63;64;65;66;68;69;70;71;72;73;74;75;76;77;79;80;81;82;83;84;85;87;88;89;90;91;93;94;95;96;97;98;99;100
A0A1V3WG34	0.40425531914893614	6;7;8;9;15;16;18;19;20;25;26;28;29;31;32;33;34;38;44	47	2.560095636844635	1.142343964745954	0.78	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;25;26;28;29;30;31;34;36;37;38;39;40;41;44;45;46;48;51;52;53;54;55;56;57;58;60;61;63;64;66;68;69;70;71;72;73;74;75;77;78;79;82;83;84;85;86;88;89;90;92;93;94;95;97;99;100
A0A1W9YPH5	0.3333333333333333	1;3;4;7;9;14;18;20;21;25;31;36;37;42;50;51;53;54	54	2.259479429125786	1.1936391017418937	0.83	1;2;3;5;6;7;8;9;10;12;13;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32;34;38;39;40;41;44;45;46;47;48;49;50;51;52;53;54;55;56;58;59;60;61;62;63;64;65;67;69;70;71;72;73;74;75;76;77;78;79;80;81;83;84;85;86;87;88;89;90;91;92;93;94;95;97;98;99;100
A0A1X0AYB7	0.3392857142857143	5;6;7;10;12;13;14;19;20;21;23;25;32;40;41;43;54;55;56	56	2.3433666044473647	1.1398360737165125	0.75	1;2;3;4;5;6;7;9;10;11;14;15;17;18;19;23;24;25;26;27;29;31;32;33;35;36;38;39;40;41;42;44;45;46;47;48;51;52;57;58;59;60;61;62;63;64;65;66;67;68;69;70;72;73;74;75;76;77;78;79;80;82;83;84;86;88;89;91;92;93;94;95;97;98;100
A0A1X0ED97	0.4411764705882353	4;5;6;11;13;14;16;17;19;21;22;24;25;26;34	34	2.8837207984924316	1.1079482107055303	0.95	1;2;3;4;5;7;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;82;83;84;85;86;87;90;91;92;93;94;95;96;97;98;99;100
